,t,N
0,0.000,20.000
1,0.050,20.080
2,0.100,20.160
3,0.150,20.241
4,0.200,20.321
5,0.250,20.402
6,0.300,20.484
7,0.350,20.565
8,0.400,20.647
9,0.450,20.729
10,0.501,20.811
11,0.551,20.893
12,0.601,20.976
13,0.651,21.059
14,0.701,21.142
15,0.751,21.225
16,0.801,21.309
17,0.851,21.393
18,0.901,21.477
19,0.951,21.561
20,1.001,21.646
21,1.051,21.730
22,1.101,21.815
23,1.151,21.901
24,1.201,21.986
25,1.251,22.072
26,1.301,22.158
27,1.351,22.244
28,1.401,22.331
29,1.451,22.417
30,1.502,22.504
31,1.552,22.592
32,1.602,22.679
33,1.652,22.767
34,1.702,22.855
35,1.752,22.943
36,1.802,23.031
37,1.852,23.120
38,1.902,23.209
39,1.952,23.298
40,2.002,23.387
41,2.052,23.477
42,2.102,23.567
43,2.152,23.657
44,2.202,23.747
45,2.252,23.837
46,2.302,23.928
47,2.352,24.019
48,2.402,24.111
49,2.452,24.202
50,2.503,24.294
51,2.553,24.386
52,2.603,24.478
53,2.653,24.570
54,2.703,24.663
55,2.753,24.756
56,2.803,24.849
57,2.853,24.942
58,2.903,25.036
59,2.953,25.130
60,3.003,25.224
61,3.053,25.318
62,3.103,25.413
63,3.153,25.508
64,3.203,25.603
65,3.253,25.698
66,3.303,25.793
67,3.353,25.889
68,3.403,25.985
69,3.453,26.081
70,3.504,26.177
71,3.554,26.274
72,3.604,26.371
73,3.654,26.468
74,3.704,26.565
75,3.754,26.663
76,3.804,26.761
77,3.854,26.859
78,3.904,26.957
79,3.954,27.055
80,4.004,27.154
81,4.054,27.253
82,4.104,27.352
83,4.154,27.451
84,4.204,27.551
85,4.254,27.651
86,4.304,27.751
87,4.354,27.851
88,4.404,27.951
89,4.454,28.052
90,4.505,28.153
91,4.555,28.254
92,4.605,28.356
93,4.655,28.457
94,4.705,28.559
95,4.755,28.661
96,4.805,28.763
97,4.855,28.866
98,4.905,28.968
99,4.955,29.071
100,5.005,29.174
101,5.055,29.278
102,5.105,29.381
103,5.155,29.485
104,5.205,29.589
105,5.255,29.693
106,5.305,29.797
107,5.355,29.902
108,5.405,30.007
109,5.455,30.112
110,5.506,30.217
111,5.556,30.322
112,5.606,30.428
113,5.656,30.534
114,5.706,30.640
115,5.756,30.746
116,5.806,30.853
117,5.856,30.959
118,5.906,31.066
119,5.956,31.173
120,6.006,31.281
121,6.056,31.388
122,6.106,31.496
123,6.156,31.604
124,6.206,31.712
125,6.256,31.820
126,6.306,31.928
127,6.356,32.037
128,6.406,32.146
129,6.456,32.255
130,6.507,32.364
131,6.557,32.474
132,6.607,32.583
133,6.657,32.693
134,6.707,32.803
135,6.757,32.914
136,6.807,33.024
137,6.857,33.134
138,6.907,33.245
139,6.957,33.356
140,7.007,33.467
141,7.057,33.579
142,7.107,33.690
143,7.157,33.802
144,7.207,33.914
145,7.257,34.026
146,7.307,34.138
147,7.357,34.251
148,7.407,34.363
149,7.457,34.476
150,7.508,34.589
151,7.558,34.702
152,7.608,34.815
153,7.658,34.929
154,7.708,35.042
155,7.758,35.156
156,7.808,35.270
157,7.858,35.384
158,7.908,35.499
159,7.958,35.613
160,8.008,35.728
161,8.058,35.843
162,8.108,35.958
163,8.158,36.073
164,8.208,36.188
165,8.258,36.304
166,8.308,36.419
167,8.358,36.535
168,8.408,36.651
169,8.458,36.767
170,8.509,36.883
171,8.559,37.000
172,8.609,37.116
173,8.659,37.233
174,8.709,37.350
175,8.759,37.467
176,8.809,37.584
177,8.859,37.701
178,8.909,37.819
179,8.959,37.936
180,9.009,38.054
181,9.059,38.172
182,9.109,38.290
183,9.159,38.408
184,9.209,38.526
185,9.259,38.645
186,9.309,38.763
187,9.359,38.882
188,9.409,39.001
189,9.459,39.120
190,9.510,39.239
191,9.560,39.358
192,9.610,39.477
193,9.660,39.597
194,9.710,39.716
195,9.760,39.836
196,9.810,39.956
197,9.860,40.076
198,9.910,40.196
199,9.960,40.316
200,10.010,40.436
201,10.060,40.557
202,10.110,40.677
203,10.160,40.798
204,10.210,40.919
205,10.260,41.040
206,10.310,41.161
207,10.360,41.282
208,10.410,41.403
209,10.460,41.524
210,10.511,41.646
211,10.561,41.767
212,10.611,41.889
213,10.661,42.010
214,10.711,42.132
215,10.761,42.254
216,10.811,42.376
217,10.861,42.498
218,10.911,42.620
219,10.961,42.743
220,11.011,42.865
221,11.061,42.988
222,11.111,43.110
223,11.161,43.233
224,11.211,43.355
225,11.261,43.478
226,11.311,43.601
227,11.361,43.724
228,11.411,43.847
229,11.461,43.970
230,11.512,44.093
231,11.562,44.217
232,11.612,44.340
233,11.662,44.463
234,11.712,44.587
235,11.762,44.710
236,11.812,44.834
237,11.862,44.958
238,11.912,45.081
239,11.962,45.205
240,12.012,45.329
241,12.062,45.453
242,12.112,45.577
243,12.162,45.701
244,12.212,45.825
245,12.262,45.949
246,12.312,46.073
247,12.362,46.197
248,12.412,46.322
249,12.462,46.446
250,12.513,46.570
251,12.563,46.695
252,12.613,46.819
253,12.663,46.944
254,12.713,47.068
255,12.763,47.193
256,12.813,47.317
257,12.863,47.442
258,12.913,47.567
259,12.963,47.692
260,13.013,47.816
261,13.063,47.941
262,13.113,48.066
263,13.163,48.191
264,13.213,48.315
265,13.263,48.440
266,13.313,48.565
267,13.363,48.690
268,13.413,48.815
269,13.463,48.940
270,13.514,49.065
271,13.564,49.190
272,13.614,49.315
273,13.664,49.440
274,13.714,49.565
275,13.764,49.690
276,13.814,49.815
277,13.864,49.940
278,13.914,50.065
279,13.964,50.190
280,14.014,50.315
281,14.064,50.440
282,14.114,50.565
283,14.164,50.690
284,14.214,50.815
285,14.264,50.940
286,14.314,51.065
287,14.364,51.190
288,14.414,51.314
289,14.464,51.439
290,14.515,51.564
291,14.565,51.689
292,14.615,51.814
293,14.665,51.939
294,14.715,52.064
295,14.765,52.188
296,14.815,52.313
297,14.865,52.438
298,14.915,52.563
299,14.965,52.687
300,15.015,52.812
301,15.065,52.937
302,15.115,53.061
303,15.165,53.186
304,15.215,53.310
305,15.265,53.435
306,15.315,53.559
307,15.365,53.683
308,15.415,53.808
309,15.465,53.932
310,15.516,54.056
311,15.566,54.180
312,15.616,54.305
313,15.666,54.429
314,15.716,54.553
315,15.766,54.677
316,15.816,54.800
317,15.866,54.924
318,15.916,55.048
319,15.966,55.172
320,16.016,55.295
321,16.066,55.419
322,16.116,55.543
323,16.166,55.666
324,16.216,55.789
325,16.266,55.913
326,16.316,56.036
327,16.366,56.159
328,16.416,56.282
329,16.466,56.405
