x,y,value
0,0,0
0.1,0,0
0.2,0,0
0.3,0,0
0.4,0,0
0.5,0,0
0.6,0,0
0.7,0,0
0.8,0,0
0.9,0,0
1,0,0
1.1,0,0
1.2,0,0
1.3,0,0
1.4,0,0
1.5,0,0
1.6,0,0
1.7,0,0
1.8,0,0
1.9,0,0
2,0,0
2.1,0,0
2.2,0,0
2.3,0,0
2.4,0,0
2.5,0,0
2.6,0,0
2.7,0,0
2.8,0,0
2.9,0,0
3,0,1.15656e-23
3.1,0,1.2708e-22
3.2,0,7.85809e-22
3.3,0,3.38447e-21
3.4,0,1.12081e-20
3.5,0,2.99257e-20
3.6,0,6.64309e-20
3.7,0,1.24942e-19
3.8,0,2.01772e-19
3.9,0,2.82202e-19
4,0,3.43855e-19
4.1,0,3.6616e-19
4.2,0,3.41202e-19
4.3,0,2.77945e-19
4.4,0,1.97371e-19
4.5,0,1.2149e-19
4.6,0,6.42907e-20
4.7,0,2.88683e-20
4.8,0,1.07993e-20
4.9,0,3.27633e-21
5,0,8.8598e-22
0,0.1,0
0.1,0.1,0
0.2,0.1,0
0.3,0.1,0
0.4,0.1,0
0.5,0.1,0
0.6,0.1,0
0.7,0.1,0
0.8,0.1,0
0.9,0.1,0
1,0.1,0
1.1,0.1,0
1.2,0.1,0
1.3,0.1,0
1.4,0.1,0
1.5,0.1,0
1.6,0.1,0
1.7,0.1,0
1.8,0.1,0
1.9,0.1,0
2,0.1,0
2.1,0.1,0
2.2,0.1,0
2.3,0.1,0
2.4,0.1,0
2.5,0.1,0
2.6,0.1,0
2.7,0.1,0
2.8,0.1,0
2.9,0.1,4.20566e-23
3,0.1,4.93113e-22
3.1,0.1,3.26612e-21
3.2,0.1,1.51329e-20
3.3,0.1,5.41328e-20
3.4,0.1,1.56826e-19
3.5,0.1,3.79505e-19
3.6,0.1,7.82101e-19
3.7,0.1,1.39173e-18
3.8,0.1,2.15843e-18
3.9,0.1,2.93712e-18
4,0.1,3.52171e-18
4.1,0.1,3.73052e-18
4.2,0.1,3.49404e-18
4.3,0.1,2.89189e-18
4.4,0.1,2.1101e-18
4.5,0.1,1.35196e-18
4.6,0.1,7.55708e-19
4.7,0.1,3.65233e-19
4.8,0.1,1.50604e-19
4.9,0.1,5.24342e-20
5,0.1,1.77115e-20
0,0.2,0
0.1,0.2,0
0.2,0.2,0
0.3,0.2,0
0.4,0.2,0
0.5,0.2,0
0.6,0.2,0
0.7,0.2,0
0.8,0.2,0
0.9,0.2,0
1,0.2,0
1.1,0.2,0
1.2,0.2,0
1.3,0.2,0
1.4,0.2,0
1.5,0.2,0
1.6,0.2,0
1.7,0.2,0
1.8,0.2,0
1.9,0.2,0
2,0.2,0
2.1,0.2,0
2.2,0.2,0
2.3,0.2,0
2.4,0.2,0
2.5,0.2,0
2.6,0.2,0
2.7,0.2,0
2.8,0.2,1.36684e-22
2.9,0.2,1.73694e-21
3,0.2,1.24138e-20
3.1,0.2,6.21467e-20
3.2,0.2,2.40527e-19
3.3,0.2,7.55694e-19
3.4,0.2,1.98841e-18
3.5,0.2,4.46995e-18
3.6,0.2,8.70779e-18
3.7,0.2,1.48465e-17
3.8,0.2,2.23152e-17
3.9,0.2,2.97187e-17
4,0.2,3.51892e-17
4.1,0.2,3.71189e-17
4.2,0.2,3.49076e-17
4.3,0.2,2.92515e-17
4.4,0.2,2.18035e-17
4.5,0.2,1.44093e-17
4.6,0.2,8.40271e-18
4.7,0.2,4.29344e-18
4.8,0.2,1.90532e-18
4.9,0.2,7.34288e-19
5,0.2,2.89615e-19
0,0.3,0
0.1,0.3,0
0.2,0.3,0
0.3,0.3,0
0.4,0.3,0
0.5,0.3,0
0.6,0.3,0
0.7,0.3,0
0.8,0.3,0
0.9,0.3,0
1,0.3,0
1.1,0.3,0
1.2,0.3,0
1.3,0.3,0
1.4,0.3,0
1.5,0.3,0
1.6,0.3,0
1.7,0.3,0
1.8,0.3,0
1.9,0.3,0
2,0.3,0
2.1,0.3,0
2.2,0.3,0
2.3,0.3,0
2.4,0.3,0
2.5,0.3,0
2.6,0.3,0
2.7,0.3,3.99537e-22
2.8,0.3,5.47051e-21
2.9,0.3,4.19748e-20
3,0.3,2.25849e-19
3.1,0.3,9.4056e-19
3.2,0.3,3.18597e-18
3.3,0.3,9.05778e-18
3.4,0.3,2.20584e-17
3.5,0.3,4.66876e-17
3.6,0.3,8.67733e-17
3.7,0.3,1.42712e-16
3.8,0.3,2.08853e-16
3.9,0.3,2.73073e-16
4,0.3,3.19857e-16
4.1,0.3,3.36184e-16
4.2,0.3,3.17246e-16
4.3,0.3,2.68689e-16
4.4,0.3,2.03946e-16
4.5,0.3,1.38389e-16
4.6,0.3,8.36263e-17
4.7,0.3,4.47669e-17
4.8,0.3,2.11049e-17
4.9,0.3,8.84386e-18
5,0.3,3.92852e-18
0,0.4,0
0.1,0.4,0
0.2,0.4,0
0.3,0.4,0
0.4,0.4,0
0.5,0.4,0
0.6,0.4,0
0.7,0.4,0
0.8,0.4,0
0.9,0.4,0
1,0.4,0
1.1,0.4,0
1.2,0.4,0
1.3,0.4,0
1.4,0.4,0
1.5,0.4,0
1.6,0.4,0
1.7,0.4,0
1.8,0.4,0
1.9,0.4,0
2,0.4,0
2.1,0.4,0
2.2,0.4,0
2.3,0.4,0
2.4,0.4,0
2.5,0.4,0
2.6,0.4,1.05592e-21
2.7,0.4,1.54992e-20
2.8,0.4,1.27118e-19
2.9,0.4,7.31746e-19
3,0.4,3.26367e-18
3.1,0.4,1.18591e-17
3.2,0.4,3.62352e-17
3.3,0.4,9.50453e-17
