x,y,value
0,0,0.161135
0.1,0,0.161188
0.2,0,0.161293
0.3,0,0.16145
0.4,0,0.161658
0.5,0,0.161917
0.6,0,0.162226
0.7,0,0.162583
0.8,0,0.162986
0.9,0,0.163435
1,0,0.163928
1.1,0,0.164462
1.2,0,0.165035
1.3,0,0.165645
1.4,0,0.16629
1.5,0,0.166967
1.6,0,0.167672
1.7,0,0.168405
1.8,0,0.16916
1.9,0,0.169935
2,0,0.170727
2.1,0,0.171533
2.2,0,0.172349
2.3,0,0.173172
2.4,0,0.173998
2.5,0,0.174825
2.6,0,0.175649
2.7,0,0.176466
2.8,0,0.177273
2.9,0,0.178068
3,0,0.178847
3.1,0,0.179608
3.2,0,0.180347
3.3,0,0.181062
3.4,0,0.181751
3.5,0,0.182411
3.6,0,0.18304
3.7,0,0.183636
3.8,0,0.184198
3.9,0,0.184723
4,0,0.185209
4.1,0,0.185656
4.2,0,0.186062
4.3,0,0.186426
4.4,0,0.186747
4.5,0,0.187024
4.6,0,0.187255
4.7,0,0.187441
4.8,0,0.187582
4.9,0,0.187675
5,0,0.187722
0,0.1,0.161188
0.1,0.1,0.16124
0.2,0.1,0.161346
0.3,0.1,0.161503
0.4,0.1,0.161711
0.5,0.1,0.161971
0.6,0.1,0.162279
0.7,0.1,0.162637
0.8,0.1,0.163041
0.9,0.1,0.16349
1,0.1,0.163983
1.1,0.1,0.164518
1.2,0.1,0.165092
1.3,0.1,0.165703
1.4,0.1,0.166348
1.5,0.1,0.167026
1.6,0.1,0.167732
1.7,0.1,0.168465
1.8,0.1,0.169221
1.9,0.1,0.169998
2,0.1,0.170791
2.1,0.1,0.171597
2.2,0.1,0.172414
2.3,0.1,0.173238
2.4,0.1,0.174065
2.5,0.1,0.174893
2.6,0.1,0.175717
2.7,0.1,0.176535
2.8,0.1,0.177343
2.9,0.1,0.178138
3,0.1,0.178917
3.1,0.1,0.179678
3.2,0.1,0.180417
3.3,0.1,0.181132
3.4,0.1,0.181821
3.5,0.1,0.182481
3.6,0.1,0.18311
3.7,0.1,0.183705
3.8,0.1,0.184266
3.9,0.1,0.184791
4,0.1,0.185277
4.1,0.1,0.185723
4.2,0.1,0.186129
4.3,0.1,0.186492
4.4,0.1,0.186813
4.5,0.1,0.187089
4.6,0.1,0.18732
4.7,0.1,0.187506
4.8,0.1,0.187646
4.9,0.1,0.18774
5,0.1,0.187787
0,0.2,0.161293
0.1,0.2,0.161346
0.2,0.2,0.161451
0.3,0.2,0.161608
0.4,0.2,0.161818
0.5,0.2,0.162077
0.6,0.2,0.162387
0.7,0.2,0.162745
0.8,0.2,0.16315
0.9,0.2,0.1636
1,0.2,0.164094
1.1,0.2,0.16463
1.2,0.2,0.165205
1.3,0.2,0.165817
1.4,0.2,0.166464
1.5,0.2,0.167144
1.6,0.2,0.167852
1.7,0.2,0.168587
1.8,0.2,0.169345
1.9,0.2,0.170123
2,0.2,0.170918
2.1,0.2,0.171726
2.2,0.2,0.172545
2.3,0.2,0.17337
2.4,0.2,0.174199
2.5,0.2,0.175028
2.6,0.2,0.175854
2.7,0.2,0.176673
2.8,0.2,0.177482
2.9,0.2,0.178277
3,0.2,0.179057
3.1,0.2,0.179818
3.2,0.2,0.180558
3.3,0.2,0.181273
3.4,0.2,0.181961
3.5,0.2,0.18262
3.6,0.2,0.183248
3.7,0.2,0.183843
3.8,0.2,0.184403
3.9,0.2,0.184927
4,0.2,0.185412
4.1,0.2,0.185857
4.2,0.2,0.186262
4.3,0.2,0.186625
4.4,0.2,0.186944
4.5,0.2,0.18722
4.6,0.2,0.187451
4.7,0.2,0.187636
4.8,0.2,0.187776
4.9,0.2,0.187869
5,0.2,0.187915
0,0.3,0.16145
0.1,0.3,0.161503
0.2,0.3,0.161608
0.3,0.3,0.161766
