x,y,value
0,0,0
0.1,0,0
0.2,0,0
0.3,0,0
0.4,0,0
0.5,0,0
0.6,0,0
0.7,0,0
0.8,0,0
0.9,0,0
1,0,0
1.1,0,0
1.2,0,0
1.3,0,0
1.4,0,0
1.5,0,0
1.6,0,0
1.7,0,0
1.8,0,0
1.9,0,0
2,0,0
2.1,0,0
2.2,0,0
2.3,0,0
2.4,0,0
2.5,0,0
2.6,0,0
2.7,0,0
2.8,0,0
2.9,0,0
3,0,0
3.1,0,4.84327e-38
3.2,0,0
3.3,0,0
3.4,0,0
3.5,0,0
3.6,0,0
3.7,0,0
3.8,0,0
3.9,0,0
4,0,0
4.1,0,0
4.2,0,0
4.3,0,0
4.4,0,0
4.5,0,0
4.6,0,0
4.7,0,0
4.8,0,0
4.9,0,0
5,0,0
0,0.1,0
0.1,0.1,0
0.2,0.1,0
0.3,0.1,0
0.4,0.1,0
0.5,0.1,0
0.6,0.1,0
0.7,0.1,0
0.8,0.1,0
0.9,0.1,0
1,0.1,0
1.1,0.1,0
1.2,0.1,0
1.3,0.1,0
1.4,0.1,0
1.5,0.1,0
1.6,0.1,0
1.7,0.1,0
1.8,0.1,0
1.9,0.1,0
2,0.1,0
2.1,0.1,0
2.2,0.1,0
2.3,0.1,0
2.4,0.1,0
2.5,0.1,0
2.6,0.1,0
2.7,0.1,0
2.8,0.1,0
2.9,0.1,0
3,0.1,5.14707e-36
3.1,0.1,1.07538e-35
3.2,0.1,1.45298e-36
3.3,0.1,0
3.4,0.1,0
3.5,0.1,0
3.6,0.1,0
3.7,0.1,0
3.8,0.1,0
3.9,0.1,0
4,0.1,0
4.1,0.1,0
4.2,0.1,0
4.3,0.1,0
4.4,0.1,0
4.5,0.1,0
4.6,0.1,0
4.7,0.1,0
4.8,0.1,0
4.9,0.1,0
5,0.1,0
0,0.2,0
0.1,0.2,0
0.2,0.2,0
0.3,0.2,0
0.4,0.2,0
0.5,0.2,0
0.6,0.2,0
0.7,0.2,0
0.8,0.2,0
0.9,0.2,0
1,0.2,0
1.1,0.2,0
1.2,0.2,0
1.3,0.2,0
1.4,0.2,0
1.5,0.2,0
1.6,0.2,0
1.7,0.2,0
1.8,0.2,0
1.9,0.2,0
2,0.2,0
2.1,0.2,0
2.2,0.2,0
2.3,0.2,0
2.4,0.2,0
2.5,0.2,0
2.6,0.2,0
2.7,0.2,0
2.8,0.2,0
2.9,0.2,1.22821e-34
3,0.2,1.09329e-33
3.1,0.2,1.3189e-33
3.2,0.2,3.11861e-34
3.3,0.2,2.10682e-35
3.4,0.2,0
3.5,0.2,0
3.6,0.2,0
3.7,0.2,0
3.8,0.2,0
3.9,0.2,0
4,0.2,0
4.1,0.2,0
4.2,0.2,0
4.3,0.2,0
4.4,0.2,0
4.5,0.2,0
4.6,0.2,0
4.7,0.2,0
4.8,0.2,0
4.9,0.2,0
5,0.2,0
0,0.3,0
0.1,0.3,0
0.2,0.3,0
0.3,0.3,0
0.4,0.3,0
0.5,0.3,0
0.6,0.3,0
0.7,0.3,0
0.8,0.3,0
0.9,0.3,0
1,0.3,0
1.1,0.3,0
1.2,0.3,0
1.3,0.3,0
1.4,0.3,0
1.5,0.3,0
1.6,0.3,0
1.7,0.3,0
1.8,0.3,0
1.9,0.3,0
2,0.3,0
2.1,0.3,0
2.2,0.3,0
2.3,0.3,0
2.4,0.3,0
2.5,0.3,0
2.6,0.3,0
2.7,0.3,0
2.8,0.3,1.55138e-33
2.9,0.3,2.51167e-32
3,0.3,1.17705e-31
3.1,0.3,1.13674e-31
3.2,0.3,3.48438e-32
3.3,0.3,4.36605e-33
3.4,0.3,1.96637e-34
3.5,0.3,0
3.6,0.3,0
3.7,0.3,0
3.8,0.3,0
3.9,0.3,0
4,0.3,0
4.1,0.3,0
4.2,0.3,0
4.3,0.3,0
4.4,0.3,0
4.5,0.3,0
4.6,0.3,0
4.7,0.3,0
4.8,0.3,0
4.9,0.3,0
5,0.3,0
0,0.4,0
0.1,0.4,0
0.2,0.4,0
0.3,0.4,0
0.4,0.4,0
0.5,0.4,0
0.6,0.4,0
0.7,0.4,0
0.8,0.4,0
0.9,0.4,0
1,0.4,0
1.1,0.4,0
1.2,0.4,0
1.3,0.4,0
1.4,0.4,0
1.5,0.4,0
1.6,0.4,0
1.7,0.4,0
1.8,0.4,0
1.9,0.4,0
2,0.4,0
2.1,0.4,0
2.2,0.4,0
2.3,0.4,0
2.4,0.4,0
2.5,0.4,0
2.6,0.4,0
2.7,0.4,1.29412e-32
2.8,0.4,3.05333e-31
2.9,0.4,2.56806e-30
3,0.4,8.50804e-30
3.1,0.4,7.4628e-30
3.2,0.4,2.65683e-30
3.3,0.4,4.61046e-31
3.4,0.4,3.92944e-32
3.5,0.4,1.3273e-33
3.6,0.4,0
3.7,0.4,0
3.8,0.4,0
3.9,0.4,0
4,0.4,0
4.1,0.4,0
4.2,0.4,0
4.3,0.4,0
4.4,0.4,0
4.5,0.4,0
4.6,0.4,0
4.7,0.4,0
4.8,0.4,0
4.9,0.4,0
5,0.4,0
0,0.5,0
0.1,0.5,0
0.2,0.5,0
0.3,0.5,0
0.4,0.5,0
0.5,0.5,0
0.6,0.5,0
0.7,0.5,0
0.8,0.5,0
0.9,0.5,0
1,0.5,0
1.1,0.5,0
1.2,0.5,0
1.3,0.5,0
1.4,0.5,0
1.5,0.5,0
1.6,0.5,0
1.7,0.5,0
1.8,0.5,0
1.9,0.5,0
2,0.5,0
2.1,0.5,0
2.2,0.5,0
2.3,0.5,0
2.4,0.5,0
2.5,0.5,0
2.6,0.5,7.89508e-32
