x,y,value
0,0,0.00147383
0.1,0,0.00148798
0.2,0,0.00151627
0.3,0,0.00155865
0.4,0,0.00161503
0.5,0,0.00168531
0.6,0,0.0017693
0.7,0,0.00186675
0.8,0,0.00197736
0.9,0,0.00210066
1,0,0.00223611
1.1,0,0.00238299
1.2,0,0.00254042
1.3,0,0.00270734
1.4,0,0.0028825
1.5,0,0.0030644
1.6,0,0.00325137
1.7,0,0.00344149
1.8,0,0.00363269
1.9,0,0.00382266
2,0,0.004009
2.1,0,0.00418918
2.2,0,0.00436065
2.3,0,0.00452085
2.4,0,0.00466733
2.5,0,0.00479781
2.6,0,0.00491025
2.7,0,0.00500293
2.8,0,0.00507452
2.9,0,0.00512413
3,0,0.00515135
3.1,0,0.0051563
3.2,0,0.00513958
3.3,0,0.00510233
3.4,0,0.00504613
3.5,0,0.00497299
3.6,0,0.00488526
3.7,0,0.00478558
3.8,0,0.0046768
3.9,0,0.00456188
4,0,0.00444383
4.1,0,0.00432562
4.2,0,0.00421014
4.3,0,0.00410009
4.4,0,0.00399799
4.5,0,0.00390611
4.6,0,0.00382642
4.7,0,0.00376062
4.8,0,0.00371007
4.9,0,0.00367579
5,0,0.00365848
0,0.1,0.00148798
0.1,0.1,0.00150244
0.2,0.1,0.00153132
0.3,0.1,0.0015746
0.4,0.1,0.0016322
0.5,0.1,0.00170402
0.6,0.1,0.00178988
0.7,0.1,0.00188957
0.8,0.1,0.00200276
0.9,0.1,0.00212903
1,0.1,0.00226782
1.1,0.1,0.00241844
1.2,0.1,0.00258
1.3,0.1,0.00275144
1.4,0.1,0.00293148
1.5,0.1,0.00311862
1.6,0.1,0.00331113
1.7,0.1,0.00350706
1.8,0.1,0.00370426
1.9,0.1,0.00390036
2,0.1,0.00409285
2.1,0.1,0.00427911
2.2,0.1,0.00445646
2.3,0.1,0.00462224
2.4,0.1,0.00477386
2.5,0.1,0.00490892
2.6,0.1,0.00502527
2.7,0.1,0.00512109
2.8,0.1,0.00519496
2.9,0.1,0.00524593
3,0.1,0.00527357
3.1,0.1,0.00527799
3.2,0.1,0.00525982
3.3,0.1,0.00522024
3.4,0.1,0.00516093
3.5,0.1,0.00508399
3.6,0.1,0.00499189
3.7,0.1,0.00488741
3.8,0.1,0.00477353
3.9,0.1,0.00465335
4,0.1,0.00453001
4.1,0.1,0.00440661
4.2,0.1,0.00428614
4.3,0.1,0.00417142
4.4,0.1,0.00406506
4.5,0.1,0.00396939
4.6,0.1,0.00388647
4.7,0.1,0.00381801
4.8,0.1,0.00376544
4.9,0.1,0.0037298
5,0.1,0.0037118
0,0.2,0.00151627
0.1,0.2,0.00153132
0.2,0.2,0.00156141
0.3,0.2,0.0016065
0.4,0.2,0.00166655
0.5,0.2,0.00174147
0.6,0.2,0.00183111
0.7,0.2,0.00193528
0.8,0.2,0.00205369
0.9,0.2,0.00218593
1,0.2,0.00233148
1.1,0.2,0.00248965
1.2,0.2,0.00265955
1.3,0.2,0.00284013
1.4,0.2,0.00303006
1.5,0.2,0.0032278
1.6,0.2,0.00343156
1.7,0.2,0.00363929
1.8,0.2,0.00384869
1.9,0.2,0.00405725
2,0.2,0.00426227
2.1,0.2,0.00446092
2.2,0.2,0.00465028
2.3,0.2,0.00482744
2.4,0.2,0.00498957
2.5,0.2,0.005134
2.6,0.2,0.00525835
2.7,0.2,0.00536058
2.8,0.2,0.00543911
2.9,0.2,0.00549287
3,0.2,0.00552136
3.1,0.2,0.00552467
3.2,0.2,0.00550351
3.3,0.2,0.00545916
3.4,0.2,0.00539346
3.5,0.2,0.00530872
3.6,0.2,0.00520768
3.7,0.2,0.00509338
3.8,0.2,0.00496906
3.9,0.2,0.00483812
4,0.2,0.00470397
4.1,0.2,0.00456996
4.2,0.2,0.00443933
4.3,0.2,0.00431509
4.4,0.2,0.00420004
4.5,0.2,0.00409666
4.6,0.2,0.00400713
4.7,0.2,0.00393329
4.8,0.2,0.0038766
4.9,0.2,0.00383819
5,0.2,0.0038188
0,0.3,0.00155865
0.1,0.3,0.0015746
0.2,0.3,0.0016065
0.3,0.3,0.00165434
0.4,0.3,0.0017181
0.5,0.3,0.00179771
0.6,0.3,0.00189308
0.7,0.3,0.00200405
0.8,0.3,0.00213038
0.9,0.3,0.0022717
1,0.3,0.00242753
1.1,0.3,0.0025972
1.2,0.3,0.00277984
1.3,0.3,0.00297437
1.4,0.3,0.00317945
1.5,0.3,0.00339345
1.6,0.3,0.00361448
1.7,0.3,0.00384034
1.8,0.3,0.00406854
1.9,0.3,0.00429633
2,0.3,0.00452072
2.1,0.3,0.00473855
2.2,0.3,0.00494653
2.3,0.3,0.00514137
2.4,0.3,0.00531982
2.5,0.3,0.00547882
2.6,0.3,0.00561562
2.7,0.3,0.00572785
2.8,0.3,0.00581364
2.9,0.3,0.00587174
3,0.3,0.00590153
3.1,0.3,0.00590309
3.2,0.3,0.00587722
3.3,0.3,0.00582538
3.4,0.3,0.00574968
3.5,0.3,0.00565276
3.6,0.3,0.00553775
3.7,0.3,0.00540811
3.8,0.3,0.00526753
3.9,0.3,0.00511985
4,0.3,0.0049689
4.1,0.3,0.00481843
4.2,0.3,0.00467204
4.3,0.3,0.00453307
4.4,0.3,0.00440458
4.5,0.3,0.00428929
4.6,0.3,0.00418957
4.7,0.3,0.00410741
4.8,0.3,0.00404439
4.9,0.3,0.00400171
5,0.3,0.00398017
0,0.4,0.00161503
0.1,0.4,0.0016322
0.2,0.4,0.00166655
0.3,0.4,0.0017181
0.4,0.4,0.00178685
0.5,0.4,0.0018728
0.6,0.4,0.00197592
0.7,0.4,0.0020961
0.8,0.4,0.00223316
0.9,0.4,0.00238682
1,0.4,0.00255663
1.1,0.4,0.00274197
1.2,0.4,0.002942
1.3,0.4,0.00315562
1.4,0.4,0.00338145
1.5,0.4,0.0036178
1.6,0.4,0.00386261
1.7,0.4,0.0041135
1.8,0.4,0.00436771
1.9,0.4,0.00462215
2,0.4,0.00487346
2.1,0.4,0.005118
2.2,0.4,0.00535197
2.3,0.4,0.00557152
2.4,0.4,0.00577283
2.5,0.4,0.00595228
2.6,0.4,0.00610656
2.7,0.4,0.00623282
2.8,0.4,0.00632882
2.9,0.4,0.00639299
3,0.4,0.00642456
3.1,0.4,0.00642362
3.2,0.4,0.00639105
3.3,0.4,0.0063286
3.4,0.4,0.00623875
3.5,0.4,0.00612463
3.6,0.4,0.00598992
3.7,0.4,0.00583869
3.8,0.4,0.00567528
3.9,0.4,0.00550412
4,0.4,0.00532965
4.1,0.4,0.00515619
4.2,0.4,0.00498781
4.3,0.4,0.00482832
4.4,0.4,0.00468115
4.5,0.4,0.00454933
4.6,0.4,0.00443548
4.7,0.4,0.00434179
4.8,0.4,0.00427001
4.9,0.4,0.00422143
5,0.4,0.00419692
0,0.5,0.00168531
0.1,0.5,0.00170402
0.2,0.5,0.00174147
0.3,0.5,0.00179771
0.4,0.5,0.0018728
0.5,0.5,0.00196681
0.6,0.5,0.00207978
0.7,0.5,0.00221169
0.8,0.5,0.00236246
0.9,0.5,0.00253188
1,0.5,0.00271961
1.1,0.5,0.00292507
1.2,0.5,0.00314748
1.3,0.5,0.00338575
1.4,0.5,0.00363845
1.5,0.5,0.00390379
1.6,0.5,0.00417956
1.7,0.5,0.00446311
1.8,0.5,0.00475138
1.9,0.5,0.00504084
2,0.5,0.0053276
2.1,0.5,0.00560742
2.2,0.5,0.00587581
2.3,0.5,0.00612817
2.4,0.5,0.0063599
2.5,0.5,0.00656661
2.6,0.5,0.00674423
2.7,0.5,0.00688925
2.8,0.5,0.00699887
2.9,0.5,0.00707113
3,0.5,0.00710504
3.1,0.5,0.00710064
3.2,0.5,0.007059
3.3,0.5,0.00698222
3.4,0.5,0.00687331
3.5,0.5,0.00673607
3.6,0.5,0.00657495
3.7,0.5,0.00639484
3.8,0.5,0.00620092
3.9,0.5,0.00599849
4,0.5,0.00579277
4.1,0.5,0.00558881
4.2,0.5,0.00539137
4.3,0.5,0.0052048
4.4,0.5,0.00503301
4.5,0.5,0.00487945
4.6,0.5,0.00474706
4.7,0.5,0.00463827
4.8,0.5,0.00455501
4.9,0.5,0.00449871
5,0.5,0.00447032
0,0.6,0.0017693
0.1,0.6,0.00178988
0.2,0.6,0.00183111
0.3,0.6,0.00189308
0.4,0.6,0.00197592
0.5,0.6,0.00207978
0.6,0.6,0.00220481
0.7,0.6,0.00235111
0.8,0.6,0.00251873
0.9,0.6,0.00270758
1,0.6,0.00291743
1.1,0.6,0.00314783
1.2,0.6,0.00339805
1.3,0.6,0.00366703
1.4,0.6,0.00395333
1.5,0.6,0.00425506
1.6,0.6,0.00456981
1.7,0.6,0.00489466
1.8,0.6,0.00522613
1.9,0.6,0.00556017
2,0.6,0.00589222
2.1,0.6,0.00621727
2.2,0.6,0.00652993
2.3,0.6,0.00682463
2.4,0.6,0.00709573
2.5,0.6,0.00733778
2.6,0.6,0.00754573
2.7,0.6,0.00771515
2.8,0.6,0.00784248
2.9,0.6,0.00792523
3,0.6,0.00796209
3.1,0.6,0.00795305
3.2,0.6,0.00789943
3.3,0.6,0.00780379
3.4,0.6,0.00766988
3.5,0.6,0.00750238
3.6,0.6,0.00730677
3.7,0.6,0.00708905
3.8,0.6,0.00685554
3.9,0.6,0.00661262
4,0.6,0.00636657
4.1,0.6,0.00612337
4.2,0.6,0.00588862
4.3,0.6,0.00566738
4.4,0.6,0.00546418
4.5,0.6,0.00528293
4.6,0.6,0.00512697
4.7,0.6,0.00499901
4.8,0.6,0.0049012
4.9,0.6,0.00483512
5,0.6,0.00480182
0,0.7,0.00186675
0.1,0.7,0.00188957
0.2,0.7,0.00193528
0.3,0.7,0.00200405
0.4,0.7,0.0020961
0.5,0.7,0.00221169
0.6,0.7,0.00235111
0.7,0.7,0.00251462
0.8,0.7,0.00270243
0.9,0.7,0.00291464
1,0.7,0.00315117
1.1,0.7,0.00341172
1.2,0.7,0.00369569
1.3,0.7,0.00400209
1.4,0.7,0.00432949
1.5,0.7,0.00467588
1.6,0.7,0.0050387
1.7,0.7,0.00541468
1.8,0.7,0.00579987
1.9,0.7,0.00618958
2,0.7,0.00657845
2.1,0.7,0.00696046
2.2,0.7,0.00732911
2.3,0.7,0.00767753
2.4,0.7,0.00799876
2.5,0.7,0.00828594
2.6,0.7,0.0085327
2.7,0.7,0.00873339
2.8,0.7,0.00888343
2.9,0.7,0.00897958
3,0.7,0.0090201
3.1,0.7,0.00900493
3.2,0.7,0.00893568
3.3,0.7,0.00881559
3.4,0.7,0.00864933
3.5,0.7,0.0084428
3.6,0.7,0.00820285
3.7,0.7,0.00793694
3.8,0.7,0.00765285
3.9,0.7,0.0073584
4,0.7,0.00706119
4.1,0.7,0.0067684
4.2,0.7,0.00648665
4.3,0.7,0.00622189
4.4,0.7,0.00597935
4.5,0.7,0.00576354
4.6,0.7,0.00557822
4.7,0.7,0.00542643
4.8,0.7,0.00531057
4.9,0.7,0.00523238
5,0.7,0.005193
0,0.8,0.00197736
0.1,0.8,0.00200276
0.2,0.8,0.00205369
0.3,0.8,0.00213038
0.4,0.8,0.00223316
0.5,0.8,0.00236246
0.6,0.8,0.00251873
0.7,0.8,0.00270243
0.8,0.8,0.002914
0.9,0.8,0.00315378
1,0.8,0.00342191
1.1,0.8,0.00371831
1.2,0.8,0.00404257
1.3,0.8,0.00439382
1.4,0.8,0.00477069
