x,value
0,1.57494e-28
0.1,7.13545e-27
0.2,3.04872e-25
0.3,1.20395e-23
0.4,4.39173e-22
0.5,1.47851e-20
0.6,4.58867e-19
0.7,1.31101e-17
0.8,3.44204e-16
0.9,8.28713e-15
1,1.82502e-13
1.1,3.66524e-12
1.2,6.68892e-11
1.3,1.10456e-09
1.4,1.64216e-08
1.5,2.18477e-07
1.6,2.58222e-06
1.7,2.68721e-05
1.8,0.000243517
1.9,0.001895
2,0.0124365
2.1,0.067193
2.2,0.289044
2.3,0.942723
2.4,2.15961
2.5,3.05366
2.6,2.15961
2.7,0.942723
2.8,0.289044
2.9,0.067193
3,0.0124365
3.1,0.001895
3.2,0.000243517
3.3,2.68721e-05
3.4,2.58222e-06
3.5,2.18477e-07
3.6,1.64216e-08
3.7,1.10456e-09
3.8,6.68892e-11
3.9,3.66524e-12
4,1.82502e-13
4.1,8.28713e-15
4.2,3.44204e-16
4.3,1.31101e-17
4.4,4.58867e-19
4.5,1.47851e-20
4.6,4.39173e-22
4.7,1.20395e-23
4.8,3.04872e-25
4.9,7.13545e-27
5,1.57494e-28
