x,value
0,2.24808e-13
0.1,1.38648e-12
0.2,9.25249e-12
0.3,5.91238e-11
0.4,3.60323e-10
0.5,2.09073e-09
0.6,1.15289e-08
0.7,6.02985e-08
0.8,2.98485e-07
0.9,1.39516e-06
1,6.1419e-06
1.1,2.53953e-05
1.2,9.83216e-05
1.3,0.000355251
1.4,0.00119348
1.5,0.003713
1.6,0.0106495
1.7,0.0280226
1.8,0.0672871
1.9,0.146583
2,0.28792
2.1,0.506617
2.2,0.793371
2.3,1.09897
2.4,1.33947
2.5,1.43143
2.6,1.33947
2.7,1.09897
2.8,0.793371
2.9,0.506617
3,0.28792
3.1,0.146583
3.2,0.0672871
3.3,0.0280226
3.4,0.0106495
3.5,0.003713
3.6,0.00119348
3.7,0.000355251
3.8,9.83216e-05
3.9,2.53953e-05
4,6.1419e-06
4.1,1.39516e-06
4.2,2.98485e-07
4.3,6.02985e-08
4.4,1.15289e-08
4.5,2.09073e-09
4.6,3.60323e-10
4.7,5.91238e-11
4.8,9.25249e-12
4.9,1.38648e-12
5,2.24808e-13
