x,y,value
0,0,0
0.1,0,0
0.2,0,0
0.3,0,0
0.4,0,0
0.5,0,0
0.6,0,0
0.7,0,0
0.8,0,0
0.9,0,0
1,0,0
1.1,0,0
1.2,0,5.30628e-71
1.3,0,7.34614e-68
1.4,0,4.91598e-65
1.5,0,2.1177e-62
1.6,0,6.59813e-60
1.7,0,1.58386e-57
1.8,0,3.04674e-55
1.9,0,4.82307e-53
2,0,6.40298e-51
2.1,0,7.22823e-49
2.2,0,7.0109e-47
2.3,0,5.88832e-45
2.4,0,4.30729e-43
2.5,0,2.75574e-41
2.6,0,1.54644e-39
2.7,0,7.62436e-38
2.8,0,3.3044e-36
2.9,0,1.25832e-34
3,0,4.20407e-33
3.1,0,1.22977e-31
3.2,0,3.13366e-30
3.3,0,6.91729e-29
3.4,0,1.31287e-27
3.5,0,2.12113e-26
3.6,0,2.87864e-25
3.7,0,3.22294e-24
3.8,0,2.90318e-23
3.9,0,2.02883e-22
4,0,1.03956e-21
4.1,0,3.54335e-21
4.2,0,6.56622e-21
4.3,0,3.54335e-21
4.4,0,1.03956e-21
4.5,0,2.02883e-22
4.6,0,2.90318e-23
4.7,0,3.22295e-24
4.8,0,2.87865e-25
4.9,0,2.12114e-26
5,0,1.30978e-27
0,0.1,0
0.1,0.1,0
0.2,0.1,0
0.3,0.1,0
0.4,0.1,0
0.5,0.1,0
0.6,0.1,0
0.7,0.1,0
0.8,0.1,0
0.9,0.1,0
1,0.1,0
1.1,0.1,3.4234e-71
1.2,0.1,4.89237e-68
1.3,0.1,3.38334e-65
1.4,0.1,1.50797e-62
1.5,0.1,4.86743e-60
1.6,0.1,1.2121e-57
1.7,0.1,2.42242e-55
1.8,0.1,3.99045e-53
1.9,0.1,5.52231e-51
2,0.1,6.51077e-49
2.1,0.1,6.60899e-47
2.2,0.1,5.82236e-45
2.3,0.1,4.47866e-43
2.4,0.1,3.02153e-41
2.5,0.1,1.79355e-39
2.6,0.1,9.38634e-38
2.7,0.1,4.3352e-36
2.8,0.1,1.76713e-34
2.9,0.1,6.35148e-33
3,0.1,2.00916e-31
3.1,0.1,5.57719e-30
3.2,0.1,1.35234e-28
3.3,0.1,2.84746e-27
3.4,0.1,5.16621e-26
3.5,0.1,7.99491e-25
3.6,0.1,1.04121e-23
3.7,0.1,1.12067e-22
3.8,0.1,9.72158e-22
3.9,0.1,6.55454e-21
4,0.1,3.24726e-20
4.1,0.1,1.07363e-19
4.2,0.1,1.94449e-19
4.3,0.1,1.07363e-19
4.4,0.1,3.24726e-20
4.5,0.1,6.55454e-21
4.6,0.1,9.72159e-22
4.7,0.1,1.12067e-22
4.8,0.1,1.04121e-23
4.9,0.1,7.99492e-25
5,0.1,5.15282e-26
0,0.2,0
0.1,0.2,0
0.2,0.2,0
0.3,0.2,0
0.4,0.2,0
0.5,0.2,0
0.6,0.2,0
0.7,0.2,0
0.8,0.2,0
0.9,0.2,0
1,0.2,2.03265e-71
1.1,0.2,2.99855e-68
1.2,0.2,2.14278e-65
1.3,0.2,9.87985e-63
1.4,0.2,3.30292e-60
1.5,0.2,8.52972e-58
1.6,0.2,1.77026e-55
1.7,0.2,3.03281e-53
1.8,0.2,4.37194e-51
1.9,0.2,5.37862e-49
2,0.2,5.70794e-47
2.1,0.2,5.26801e-45
2.2,0.2,4.25484e-43
2.3,0.2,3.02159e-41
2.4,0.2,1.89322e-39
2.5,0.2,1.04907e-37
2.6,0.2,5.1481e-36
2.7,0.2,2.23838e-34
2.8,0.2,8.61965e-33
2.9,0.2,2.93595e-31
3,0.2,8.82553e-30
3.1,0.2,2.33361e-28
3.2,0.2,5.40254e-27
3.3,0.2,1.08844e-25
3.4,0.2,1.89328e-24
3.5,0.2,2.81414e-23
3.6,0.2,3.52623e-22
3.7,0.2,3.65771e-21
3.8,0.2,3.06294e-20
3.9,0.2,1.99695e-19
4,0.2,9.58662e-19
4.1,0.2,3.0809e-18
4.2,0.2,5.46371e-18
4.3,0.2,3.0809e-18
4.4,0.2,9.58662e-19
4.5,0.2,1.99695e-19
4.6,0.2,3.06294e-20
4.7,0.2,3.65771e-21
4.8,0.2,3.52624e-22
4.9,0.2,2.81413e-23
5,0.2,1.8879e-24
0,0.3,0
0.1,0.3,0
0.2,0.3,0
0.3,0.3,0
0.4,0.3,0
0.5,0.3,0
0.6,0.3,0
0.7,0.3,0
0.8,0.3,0
0.9,0.3,1.10872e-71
1,0.3,1.68669e-68
1.1,0.3,1.2442e-65
1.2,0.3,5.92794e-63
1.3,0.3,2.05011e-60
1.4,0.3,5.48348e-58
1.5,0.3,1.1802e-55
1.6,0.3,2.0997e-53
1.7,0.3,3.14791e-51
1.8,0.3,4.03414e-49
1.9,0.3,4.46729e-47
2,0.3,4.3104e-45
2.1,0.3,3.64719e-43
2.2,0.3,2.71956e-41
2.3,0.3,1.79364e-39
2.4,0.3,1.04909e-37
2.5,0.3,5.45091e-36
2.6,0.3,2.51809e-34
2.7,0.3,1.03427e-32
2.8,0.3,3.77417e-31
2.9,0.3,1.22159e-29
3,0.3,3.49825e-28
3.1,0.3,8.83185e-27
3.2,0.3,1.95635e-25
3.3,0.3,3.77859e-24
3.4,0.3,6.31249e-23
3.5,0.3,9.02675e-22
3.6,0.3,1.08991e-20
3.7,0.3,1.09108e-19
3.8,0.3,8.83142e-19
3.9,0.3,5.57475e-18
4,0.3,2.59633e-17
4.1,0.3,8.11982e-17
4.2,0.3,1.41155e-16
4.3,0.3,8.11982e-17
4.4,0.3,2.59633e-17
4.5,0.3,5.57475e-18
4.6,0.3,8.83142e-19
4.7,0.3,1.09108e-19
