x,y,value
0,0,0.000521169
0.1,0,0.000562176
0.2,0,0.000644388
0.3,0,0.000768074
0.4,0,0.000933384
0.5,0,0.00114025
0.6,0,0.00138865
0.7,0,0.00167998
0.8,0,0.00202081
0.9,0,0.00243366
1,0,0.00299049
1.1,0,0.00394118
1.2,0,0.00513523
1.3,0,0.00648207
1.4,0,0.00789044
1.5,0,0.00925589
1.6,0,0.0104637
1.7,0,0.011399
1.8,0,0.0119617
1.9,0,0.0120821
2,0,0.0117345
2.1,0,0.0109455
2.2,0,0.00979243
2.3,0,0.00839367
2.4,0,0.00688951
2.5,0,0.00541968
2.6,0,0.00410248
2.7,0,0.00302223
2.8,0,0.00223172
2.9,0,0.00178371
3,0,0.0018569
3.1,0,0.0034282
3.2,0,0.0067657
3.3,0,0.0127142
3.4,0,0.0223279
3.5,0,0.0366427
3.6,0,0.056415
3.7,0,0.0818487
3.8,0,0.112371
3.9,0,0.146522
4,0,0.181988
4.1,0,0.215795
4.2,0,0.244628
4.3,0,0.265227
4.4,0,0.274789
4.5,0,0.271329
4.6,0,0.253916
4.7,0,0.222768
4.8,0,0.179218
4.9,0,0.125568
5,0,0.0648507
0,0.1,0.000549793
0.1,0.1,0.000594143
0.2,0.1,0.000683336
0.3,0.1,0.000818269
0.4,0.1,0.00100012
0.5,0.1,0.00123042
0.6,0.1,0.00151161
0.7,0.1,0.00184901
0.8,0.1,0.00225562
0.9,0.1,0.00276326
1,0.1,0.00344481
1.1,0.1,0.00443244
1.2,0.1,0.00567417
1.3,0.1,0.00709206
1.4,0.1,0.00859351
1.5,0.1,0.0100704
1.6,0.1,0.011403
1.7,0.1,0.0124706
1.8,0.1,0.0131654
1.9,0.1,0.0134092
2,0.1,0.0131672
2.1,0.1,0.0124575
2.2,0.1,0.0113512
2.3,0.1,0.00996372
2.4,0.1,0.00843716
2.5,0.1,0.00691877
2.6,0.1,0.00554093
2.7,0.1,0.00441035
2.8,0.1,0.00361581
2.9,0.1,0.0032732
3,0.1,0.00366224
3.1,0.1,0.00555214
3.2,0.1,0.00944509
3.3,0.1,0.0161878
3.4,0.1,0.0268153
3.5,0.1,0.0423284
3.6,0.1,0.0634287
3.7,0.1,0.0902476
3.8,0.1,0.122128
3.9,0.1,0.157519
4,0.1,0.194021
4.1,0.1,0.228583
4.2,0.1,0.257827
4.3,0.1,0.278444
4.4,0.1,0.287606
4.5,0.1,0.283323
4.6,0.1,0.264676
4.7,0.1,0.231913
4.8,0.1,0.186417
4.9,0.1,0.13055
5,0.1,0.067421
0,0.2,0.000607226
0.1,0.2,0.000658271
0.2,0.2,0.000761437
0.3,0.2,0.000918828
0.4,0.2,0.00113358
0.5,0.2,0.00141008
0.6,0.2,0.00175489
0.7,0.2,0.00217886
0.8,0.2,0.00270174
0.9,0.2,0.00335986
1,0.2,0.00421447
1.1,0.2,0.00533929
1.2,0.2,0.00672399
1.3,0.2,0.0083123
1.4,0.2,0.0100182
1.5,0.2,0.0117323
1.6,0.2,0.0133291
1.7,0.2,0.0146775
1.8,0.2,0.0156565
1.9,0.2,0.0161714
2,0.2,0.0161702
2.1,0.2,0.0156546
2.2,0.2,0.014683
2.3,0.2,0.013365
2.4,0.2,0.0118461
2.5,0.2,0.0102884
2.6,0.2,0.00885296
2.7,0.2,0.00769136
2.8,0.2,0.00695969
2.9,0.2,0.00687159
3,0.2,0.0078174
3.1,0.2,0.0105092
3.2,0.2,0.0156103
3.3,0.2,0.0239976
3.4,0.2,0.0366806
3.5,0.2,0.0545922
3.6,0.2,0.0783257
3.7,0.2,0.107869
3.8,0.2,0.142399
3.9,0.2,0.180192
4,0.2,0.218679
4.1,0.2,0.254661
4.2,0.2,0.284637
4.3,0.2,0.305209
4.4,0.2,0.313499
4.5,0.2,0.307506
4.6,0.2,0.286337
4.7,0.2,0.250304
4.8,0.2,0.20088
4.9,0.2,0.140548
5,0.2,0.0725686
0,0.3,0.000693772
0.1,0.3,0.000754887
0.2,0.3,0.00087904
0.3,0.3,0.00107009
0.4,0.3,0.00133391
0.5,0.3,0.00167878
0.6,0.3,0.00211637
0.7,0.3,0.00266369
0.8,0.3,0.00334647
0.9,0.3,0.00420325
1,0.3,0.00528584
1.1,0.3,0.00664401
1.2,0.3,0.00828244
1.3,0.3,0.0101618
1.4,0.3,0.0122055
