x,y,value
0,0,5.7873e-06
0.1,0,2.70584e-05
0.2,0,0.00013246
0.3,0,0.000587622
0.4,0,0.0023444
0.5,0,0.00838725
0.6,0,0.0268679
0.7,0,0.0771763
0.8,0,0.20017
0.9,0,0.476991
1,0,1.08151
1.1,0,0.476991
1.2,0,0.20017
1.3,0,0.0771763
1.4,0,0.0268679
1.5,0,0.00838725
1.6,0,0.0023444
1.7,0,0.000587637
1.8,0,0.000132569
1.9,0,2.77612e-05
2,0,9.91633e-06
2.1,0,2.77612e-05
2.2,0,0.000132569
2.3,0,0.000587637
2.4,0,0.0023444
2.5,0,0.00838725
2.6,0,0.0268679
2.7,0,0.0771763
2.8,0,0.20017
2.9,0,0.476991
3,0,1.08151
3.1,0,0.476991
3.2,0,0.20017
3.3,0,0.0771763
3.4,0,0.0268679
3.5,0,0.00838725
3.6,0,0.0023444
3.7,0,0.000587619
3.8,0,0.000132442
3.9,0,2.69321e-05
4,0,4.95817e-06
4.1,0,8.29135e-07
4.2,0,1.26338e-07
4.3,0,1.75905e-08
4.4,0,2.24533e-09
4.5,0,2.80539e-10
4.6,0,2.02039e-10
4.7,0,1.56636e-09
4.8,0,1.29435e-08
4.9,0,9.84066e-08
5,0,6.86123e-07
0,0.1,4.3814e-06
0.1,0.1,2.0503e-05
0.2,0.1,0.000100243
0.3,0.1,0.000442969
0.4,0.1,0.00175368
0.5,0.1,0.00618849
0.6,0.1,0.0193602
0.7,0.1,0.0533405
0.8,0.1,0.128092
0.9,0.1,0.261576
1,0.1,0.415585
1.1,0.1,0.261576
1.2,0.1,0.128092
1.3,0.1,0.0533405
1.4,0.1,0.0193602
1.5,0.1,0.00618849
1.6,0.1,0.00175368
1.7,0.1,0.000442981
1.8,0.1,0.000100325
1.9,0.1,2.10344e-05
2,0.1,7.50957e-06
2.1,0.1,2.10344e-05
2.2,0.1,0.000100325
2.3,0.1,0.000442981
2.4,0.1,0.00175368
2.5,0.1,0.00618849
2.6,0.1,0.0193602
2.7,0.1,0.0533405
2.8,0.1,0.128092
2.9,0.1,0.261576
3,0.1,0.415585
3.1,0.1,0.261576
3.2,0.1,0.128092
3.3,0.1,0.0533405
3.4,0.1,0.0193602
3.5,0.1,0.00618849
3.6,0.1,0.00175368
3.7,0.1,0.000442967
3.8,0.1,0.000100229
3.9,0.1,2.04078e-05
4,0.1,3.75478e-06
4.1,0.1,6.26614e-07
4.2,0.1,9.51732e-08
4.3,0.1,1.31959e-08
4.4,0.1,1.67572e-09
4.5,0.1,2.06371e-10
4.6,0.1,1.32011e-10
4.7,0.1,9.97525e-10
4.8,0.1,8.16725e-09
4.9,0.1,6.11914e-08
5,0.1,4.17053e-07
0,0.2,2.57158e-06
0.1,0.2,1.20728e-05
0.2,0.2,5.9023e-05
0.3,0.2,0.000259858
0.4,0.2,0.00101994
0.5,0.2,0.00354339
0.6,0.2,0.0107997
0.7,0.2,0.0285243
0.8,0.2,0.0640122
0.9,0.2,0.11742
1,0.2,0.159926
1.1,0.2,0.11742
1.2,0.2,0.0640122
1.3,0.2,0.0285243
1.4,0.2,0.0107997
1.5,0.2,0.00354339
1.6,0.2,0.00101994
1.7,0.2,0.000259865
1.8,0.2,5.90707e-05
1.9,0.2,1.23838e-05
2,0.2,4.41061e-06
2.1,0.2,1.23838e-05
2.2,0.2,5.90707e-05
2.3,0.2,0.000259865
2.4,0.2,0.00101994
2.5,0.2,0.00354339
2.6,0.2,0.0107997
2.7,0.2,0.0285243
2.8,0.2,0.0640122
2.9,0.2,0.11742
3,0.2,0.159926
3.1,0.2,0.11742
3.2,0.2,0.0640122
3.3,0.2,0.0285243
3.4,0.2,0.0107997
3.5,0.2,0.00354339
3.6,0.2,0.00101994
3.7,0.2,0.000259857
3.8,0.2,5.90154e-05
3.9,0.2,1.20176e-05
4,0.2,2.20531e-06
4.1,0.2,3.66272e-07
4.2,0.2,5.52657e-08
4.3,0.2,7.60047e-09
4.4,0.2,9.55877e-10
4.5,0.2,1.15302e-10
4.6,0.2,6.33484e-11
4.7,0.2,4.66341e-10
4.8,0.2,3.82576e-09
4.9,0.2,2.86784e-08
5,0.2,1.95337e-07
0,0.3,1.20455e-06
0.1,0.3,5.69171e-06
0.2,0.3,2.79e-05
0.3,0.3,0.000122698
0.4,0.3,0.000478779
0.5,0.3,0.00164318
0.6,0.3,0.00490477
0.7,0.3,0.0125361
0.8,0.3,0.0267879
0.9,0.3,0.0459127
1,0.3,0.0581314
1.1,0.3,0.0459127
1.2,0.3,0.0267879
1.3,0.3,0.0125361
1.4,0.3,0.00490477
