x,y,value
0,0,1.52219
0.1,0,1.63514
0.2,0,1.98284
0.3,0,2.8111
0.4,0,3.91937
0.5,0,5.22852
0.6,0,6.76735
0.7,0,8.65124
0.8,0,11.1234
0.9,0,14.7232
1,0,20.8333
1.1,0,15.4748
1.2,0,12.6423
1.3,0,10.9671
1.4,0,9.92357
1.5,0,9.27968
1.6,0,8.91931
1.7,0,8.77872
1.8,0,8.82072
1.9,0,9.02315
2,0,9.37344
2.1,0,9.86603
2.2,0,10.5015
2.3,0,11.2871
2.4,0,12.2388
2.5,0,13.3866
2.6,0,14.7851
2.7,0,16.5386
2.8,0,18.8636
2.9,0,22.2628
3,0,28.0666
3.1,0,22.1389
3.2,0,18.6075
3.3,0,16.1411
3.4,0,14.2341
3.5,0,12.6663
3.6,0,11.3286
3.7,0,10.1608
3.8,0,9.12622
3.9,0,8.2007
4,0,7.36683
4.1,0,6.61125
4.2,0,5.92307
4.3,0,5.29297
4.4,0,4.71271
4.5,0,4.17465
4.6,0,3.67164
4.7,0,3.19664
4.8,0,2.74149
4.9,0,2.29722
5,0,1.85628
0,0.1,1.42567
0.1,0.1,1.41736
0.2,0.1,1.52111
0.3,0.1,2.55556
0.4,0.1,3.75065
0.5,0.1,5.03976
0.6,0.1,6.47254
0.7,0.1,8.12321
0.8,0.1,10.0671
0.9,0.1,12.2976
1,0.1,14.3021
1.1,0.1,13.0393
1.2,0.1,11.5653
1.3,0.1,10.408
1.4,0.1,9.59056
1.5,0.1,9.05712
1.6,0.1,8.75501
1.7,0.1,8.64597
1.8,0.1,8.70404
1.9,0.1,8.91229
2,0.1,9.26045
2.1,0.1,9.74352
2.2,0.1,10.3612
2.3,0.1,11.1181
2.4,0.1,12.0246
2.5,0.1,13.0987
2.6,0.1,14.3689
2.7,0.1,15.8747
2.8,0.1,17.6543
2.9,0.1,19.6585
3,0.1,21.3212
3.1,0.1,19.5353
3.2,0.1,17.4017
3.3,0.1,15.4839
3.4,0.1,13.8279
3.5,0.1,12.392
3.6,0.1,11.132
3.7,0.1,10.0142
3.8,0.1,9.01408
3.9,0.1,8.11355
4,0.1,7.29854
4.1,0.1,6.55767
4.2,0.1,5.88132
4.3,0.1,5.26104
4.4,0.1,4.68929
4.5,0.1,4.15908
4.6,0.1,3.66388
4.7,0.1,3.19729
4.8,0.1,2.75129
4.9,0.1,2.31458
5,0.1,1.86632
0,0.2,1.35326
0.1,0.2,1.10284
0.2,0.2,0.143267
0.3,0.2,2.16173
0.4,0.2,3.51913
0.5,0.2,4.7475
0.6,0.2,6.00904
0.7,0.2,7.36025
