x,y,value
0,0,0
0.1,0,0
0.2,0,0
0.3,0,0
0.4,0,0
0.5,0,0
0.6,0,0
0.7,0,0
0.8,0,0
0.9,0,0
1,0,0
1.1,0,0
1.2,0,8.24761e-39
1.3,0,1.72751e-36
1.4,0,1.73328e-34
1.5,0,1.11281e-32
1.6,0,5.1483e-31
1.7,0,1.83152e-29
1.8,0,5.21889e-28
1.9,0,1.22473e-26
2,0,2.41476e-25
2.1,0,4.06005e-24
2.2,0,5.88746e-23
2.3,0,7.42779e-22
2.4,0,8.20864e-21
2.5,0,7.98806e-20
2.6,0,6.87235e-19
2.7,0,5.24258e-18
2.8,0,3.5534e-17
2.9,0,2.14259e-16
3,0,1.14984e-15
3.1,0,5.4908e-15
3.2,0,2.33098e-14
3.3,0,8.78311e-14
3.4,0,2.93065e-13
3.5,0,8.63334e-13
3.6,0,2.23708e-12
3.7,0,5.07643e-12
3.8,0,1.00377e-11
3.9,0,1.72011e-11
4,0,2.54056e-11
4.1,0,3.21813e-11
4.2,0,3.48355e-11
4.3,0,3.21813e-11
4.4,0,2.54056e-11
4.5,0,1.72011e-11
4.6,0,1.00377e-11
4.7,0,5.07622e-12
4.8,0,2.23593e-12
4.9,0,8.57843e-13
5,0,2.69755e-13
0,0.1,0
0.1,0.1,0
0.2,0.1,0
0.3,0.1,0
0.4,0.1,0
0.5,0.1,0
0.6,0.1,0
0.7,0.1,0
0.8,0.1,0
0.9,0.1,0
1,0.1,0
1.1,0.1,5.32104e-39
1.2,0.1,1.14382e-36
1.3,0.1,1.17909e-34
1.4,0.1,7.78696e-33
1.5,0.1,3.7108e-31
1.6,0.1,1.36176e-29
1.7,0.1,4.00899e-28
1.8,0.1,9.73628e-27
1.9,0.1,1.99023e-25
2,0.1,3.47597e-24
2.1,0.1,5.2467e-23
2.2,0.1,6.90554e-22
2.3,0.1,7.98049e-21
2.4,0.1,8.14224e-20
2.5,0.1,7.36496e-19
2.6,0.1,5.92509e-18
2.7,0.1,4.24934e-17
2.8,0.1,2.72094e-16
2.9,0.1,1.55686e-15
3,0.1,7.96136e-15
3.1,0.1,3.6369e-14
3.2,0.1,1.48254e-13
3.3,0.1,5.38355e-13
3.4,0.1,1.73736e-12
3.5,0.1,4.96774e-12
3.6,0.1,1.25394e-11
3.7,0.1,2.78207e-11
3.8,0.1,5.39888e-11
3.9,0.1,9.11566e-11
4,0.1,1.33199e-10
4.1,0.1,1.67628e-10
4.2,0.1,1.81058e-10
4.3,0.1,1.67628e-10
4.4,0.1,1.33199e-10
4.5,0.1,9.11565e-11
4.6,0.1,5.39886e-11
4.7,0.1,2.78191e-11
4.8,0.1,1.25315e-11
4.9,0.1,4.93137e-12
5,0.1,1.5891e-12
0,0.2,0
0.1,0.2,0
0.2,0.2,0
0.3,0.2,0
0.4,0.2,0
0.5,0.2,0
0.6,0.2,0
0.7,0.2,0
0.8,0.2,0
0.9,0.2,0
1,0.2,3.15937e-39
1.1,0.2,7.01051e-37
1.2,0.2,7.46803e-35
1.3,0.2,5.10276e-33
1.4,0.2,2.51893e-31
1.5,0.2,9.58799e-30
1.6,0.2,2.93182e-28
1.7,0.2,7.40638e-27
1.8,0.2,1.57725e-25
1.9,0.2,2.87459e-24
2,0.2,4.53582e-23
2.1,0.2,6.25256e-22
2.2,0.2,7.5834e-21
2.3,0.2,8.13773e-20
2.4,0.2,7.76038e-19
2.5,0.2,6.59896e-18
2.6,0.2,5.01632e-17
2.7,0.2,3.415e-16
2.8,0.2,2.08441e-15
2.9,0.2,1.14124e-14
3,0.2,5.60453e-14
3.1,0.2,2.46706e-13
3.2,0.2,9.72213e-13
3.3,0.2,3.42369e-12
3.4,0.2,1.0748e-11
3.5,0.2,2.99874e-11
3.6,0.2,7.40863e-11
3.7,0.2,1.61386e-10
3.8,0.2,3.08478e-10
3.9,0.2,5.14692e-10
4,0.2,7.45673e-10
4.1,0.2,9.33596e-10
4.2,0.2,1.00666e-09
4.3,0.2,9.33596e-10
4.4,0.2,7.45673e-10
4.5,0.2,5.14692e-10
4.6,0.2,3.08476e-10
4.7,0.2,1.61375e-10
4.8,0.2,7.40303e-11
4.9,0.2,2.97406e-11
5,0.2,9.77574e-12
0,0.3,0
0.1,0.3,0
0.2,0.3,0
0.3,0.3,0
0.4,0.3,0
0.5,0.3,0
0.6,0.3,0
0.7,0.3,0
0.8,0.3,0
0.9,0.3,1.72329e-39
1,0.3,3.94341e-37
1.1,0.3,4.33662e-35
1.2,0.3,3.06238e-33
1.3,0.3,1.56419e-31
1.4,0.3,6.16822e-30
1.5,0.3,1.95658e-28
1.6,0.3,5.13447e-27
1.7,0.3,1.13752e-25
1.8,0.3,2.16012e-24
1.9,0.3,3.55733e-23
2,0.3,5.12696e-22
2.1,0.3,6.51362e-21
2.2,0.3,7.3367e-20
2.3,0.3,7.35984e-19
2.4,0.3,6.59893e-18
2.5,0.3,5.30279e-17
2.6,0.3,3.8268e-16
2.7,0.3,2.48351e-15
2.8,0.3,1.45056e-14
2.9,0.3,7.62681e-14
3,0.3,3.60879e-13
3.1,0.3,1.53543e-12
3.2,0.3,5.86627e-12
3.3,0.3,2.00876e-11
3.4,0.3,6.14977e-11
3.5,0.3,1.67813e-10
3.6,0.3,4.06669e-10
3.7,0.3,8.71474e-10
3.8,0.3,1.64354e-09
3.9,0.3,2.71376e-09
4,0.3,3.90248e-09
4.1,0.3,4.86429e-09
4.2,0.3,5.23723e-09
4.3,0.3,4.86429e-09
4.4,0.3,3.90248e-09
4.5,0.3,2.71375e-09
4.6,0.3,1.64353e-09
4.7,0.3,8.71397e-10
