x,y,value
0,0,1.62436e-09
0.1,0,2.13957e-09
0.2,0,3.30893e-09
0.3,0,5.44073e-09
0.4,0,9.07832e-09
0.5,0,1.51115e-08
0.6,0,2.49501e-08
0.7,0,4.0784e-08
0.8,0,6.59626e-08
0.9,0,1.05539e-07
1,0,1.67034e-07
1.1,0,2.61495e-07
1.2,0,4.04931e-07
1.3,0,6.20227e-07
1.4,0,9.39637e-07
1.5,0,1.40798e-06
1.6,0,2.08661e-06
1.7,0,3.05824e-06
1.8,0,4.43258e-06
1.9,0,6.35273e-06
2,0,9.00197e-06
2.1,0,1.26105e-05
2.2,0,1.74615e-05
2.3,0,2.38948e-05
2.4,0,3.23076e-05
2.5,0,4.31498e-05
2.6,0,5.69112e-05
2.7,0,7.40997e-05
2.8,0,9.52072e-05
2.9,0,0.000120662
3,0,0.000150767
3.1,0,0.000185629
3.2,0,0.000225078
3.3,0,0.000268589
3.4,0,0.000315218
3.5,0,0.000363564
3.6,0,0.000411773
3.7,0,0.000457602
3.8,0,0.000498533
3.9,0,0.000531959
4,0,0.000555394
4.1,0,0.000566711
4.2,0,0.000564344
4.3,0,0.000547433
4.4,0,0.000515893
4.5,0,0.000470376
4.6,0,0.000412173
4.7,0,0.000343042
4.8,0,0.000265043
4.9,0,0.000180379
5,0,9.12908e-05
0,0.1,1.73467e-09
0.1,0.1,2.28567e-09
0.2,0.1,3.53662e-09
0.3,0.1,5.81813e-09
0.4,0.1,9.71332e-09
0.5,0.1,1.61779e-08
0.6,0.1,2.67275e-08
0.7,0.1,4.37191e-08
0.8,0.1,7.07622e-08
0.9,0.1,1.1331e-07
1,0.1,1.79492e-07
1.1,0.1,2.8127e-07
1.2,0.1,4.36011e-07
1.3,0.1,6.68595e-07
1.4,0.1,1.01418e-06
1.5,0.1,1.52173e-06
1.6,0.1,2.25849e-06
1.7,0.1,3.31542e-06
1.8,0.1,4.81363e-06
1.9,0.1,6.91171e-06
2,0.1,9.81378e-06
2.1,0.1,1.37776e-05
2.2,0.1,1.9122e-05
2.3,0.1,2.62326e-05
2.4,0.1,3.55634e-05
2.5,0.1,4.76335e-05
2.6,0.1,6.30148e-05
2.7,0.1,8.23087e-05
2.8,0.1,0.000106109
2.9,0.1,0.000134948
3,0.1,0.000169226
3.1,0.1,0.000209127
3.2,0.1,0.000254521
3.3,0.1,0.000304862
3.4,0.1,0.00035911
3.5,0.1,0.000415666
3.6,0.1,0.000472375
3.7,0.1,0.000526582
3.8,0.1,0.000575277
3.9,0.1,0.000615307
4,0.1,0.000643654
4.1,0.1,0.000657726
4.2,0.1,0.000655617
4.3,0.1,0.000636301
4.4,0.1,0.000599708
4.5,0.1,0.000546678
4.6,0.1,0.000478817
4.7,0.1,0.000398279
4.8,0.1,0.000307538
4.9,0.1,0.000209194
5,0.1,0.000105839
0,0.2,1.95621e-09
0.1,0.2,2.57915e-09
0.2,0.2,3.99411e-09
0.3,0.2,6.57669e-09
0.4,0.2,1.099e-08
0.5,0.2,1.83226e-08
0.6,0.2,3.03035e-08
0.7,0.2,4.96268e-08
0.8,0.2,8.04273e-08
0.9,0.2,1.28967e-07
1,0.2,2.04605e-07
1.1,0.2,3.21155e-07
1.2,0.2,4.9874e-07
1.3,0.2,7.6629e-07
1.4,0.2,1.16485e-06
1.5,0.2,1.75186e-06
1.6,0.2,2.60658e-06
1.7,0.2,3.83684e-06
1.8,0.2,5.58708e-06
1.9,0.2,8.04782e-06
2,0.2,1.14661e-05
2.1,0.2,1.61568e-05
2.2,0.2,2.2513e-05
2.3,0.2,3.10156e-05
2.4,0.2,4.22382e-05
2.5,0.2,5.68463e-05
2.6,0.2,7.55862e-05
2.7,0.2,9.92599e-05
2.8,0.2,0.000128682
2.9,0.2,0.000164614
3,0.2,0.000207677
3.1,0.2,0.00025823
3.2,0.2,0.000316245
3.3,0.2,0.000381157
3.4,0.2,0.000451729
3.5,0.2,0.000525961
3.6,0.2,0.000601048
3.7,0.2,0.00067345
3.8,0.2,0.000739073
3.9,0.2,0.000793568
4,0.2,0.00083273
4.1,0.2,0.000852928
4.2,0.2,0.000851507
4.3,0.2,0.000827073
4.4,0.2,0.0007796
4.5,0.2,0.00071036
4.6,0.2,0.000621676
4.7,0.2,0.000516584
4.8,0.2,0.000398478
4.9,0.2,0.000270815
5,0.2,0.000136934
0,0.3,2.29053e-09
0.1,0.3,3.02217e-09
0.2,0.3,4.68504e-09
0.3,0.3,7.72285e-09
0.4,0.3,1.29201e-08
0.5,0.3,2.15666e-08
0.6,0.3,3.57156e-08
0.7,0.3,5.85736e-08
0.8,0.3,9.50749e-08
0.9,0.3,1.52713e-07
1,0.3,2.42728e-07
1.1,0.3,3.81762e-07
1.2,0.3,5.94159e-07
1.3,0.3,9.15071e-07
1.4,0.3,1.39461e-06
1.5,0.3,2.10329e-06
1.6,0.3,3.13899e-06
1.7,0.3,4.63573e-06
1.8,0.3,6.7744e-06
1.9,0.3,9.79551e-06
2,0.3,1.40138e-05
2.1,0.3,1.98345e-05
2.2,0.3,2.77693e-05
2.3,0.3,3.84522e-05
2.4,0.3,5.26506e-05
2.5,0.3,7.12694e-05
2.6,0.3,9.53435e-05
2.7,0.3,0.000126011
2.8,0.3,0.000164464
2.9,0.3,0.000211862
3,0.3,0.000269214
3.1,0.3,0.000337218
3.2,0.3,0.000416059
3.3,0.3,0.000505184
3.4,0.3,0.000603088
3.5,0.3,0.000707125
3.6,0.3,0.000813419
3.7,0.3,0.000916926
3.8,0.3,0.00101168
3.9,0.3,0.00109122
4,0.3,0.00114926
4.1,0.3,0.00118031
4.2,0.3,0.00118039
4.3,0.3,0.00114747
4.4,0.3,0.00108162
4.5,0.3,0.000984931
4.6,0.3,0.000861022
4.7,0.3,0.000714514
4.8,0.3,0.000550416
4.9,0.3,0.00037365
5,0.3,0.000188787
0,0.4,2.73924e-09
0.1,0.4,3.61704e-09
0.2,0.4,5.61333e-09
0.3,0.4,9.26375e-09
0.4,0.4,1.55166e-08
0.5,0.4,2.59339e-08
0.6,0.4,4.30075e-08
0.7,0.4,7.06383e-08
0.8,0.4,1.14846e-07
0.9,0.4,1.848e-07
1,0.4,2.94298e-07
1.1,0.4,4.63853e-07
1.2,0.4,7.23585e-07
1.3,0.4,1.11719e-06
1.4,0.4,1.70729e-06
1.5,0.4,2.58245e-06
1.6,0.4,3.86642e-06
1.7,0.4,5.7298e-06
1.8,0.4,8.40457e-06
1.9,0.4,1.22018e-05
2,0.4,1.75325e-05
2.1,0.4,2.49311e-05
2.2,0.4,3.50806e-05
2.3,0.4,4.88381e-05
2.4,0.4,6.72566e-05
2.5,0.4,9.15984e-05
2.6,0.4,0.000123335
2.7,0.4,0.000164123
2.8,0.4,0.000215743
2.9,0.4,0.000279999
3,0.4,0.000358547
3.1,0.4,0.00045267
3.2,0.4,0.000562974
3.3,0.4,0.000689034
3.4,0.4,0.000829026
